index,image_path,point_coordinate,point_num,point_x,point_y,image_id,point_id,point_human_classification,feature_vector_0,feature_vector_1,feature_vector_2,feature_vector_3,feature_vector_4,feature_vector_5,feature_vector_6,feature_vector_7,feature_vector_8,feature_vector_9,feature_vector_10,feature_vector_11,feature_vector_12,feature_vector_13,feature_vector_14,feature_vector_15,feature_vector_16,feature_vector_17,feature_vector_18,feature_vector_19,feature_vector_20,feature_vector_21,feature_vector_22,feature_vector_23,feature_vector_24,feature_vector_25,feature_vector_26,feature_vector_27,feature_vector_28,feature_vector_29,feature_vector_30,feature_vector_31,feature_vector_32,feature_vector_33,feature_vector_34,feature_vector_35,feature_vector_36,feature_vector_37,feature_vector_38,feature_vector_39,feature_vector_40,feature_vector_41,feature_vector_42,feature_vector_43,feature_vector_44,feature_vector_45,feature_vector_46,feature_vector_47,feature_vector_48,feature_vector_49,feature_vector_50,feature_vector_51,feature_vector_52,feature_vector_53,feature_vector_54,feature_vector_55,feature_vector_56,feature_vector_57,feature_vector_58,feature_vector_59,feature_vector_60,feature_vector_61,feature_vector_62,feature_vector_63,feature_vector_64,feature_vector_65,feature_vector_66,feature_vector_67,feature_vector_68,feature_vector_69,feature_vector_70,feature_vector_71,feature_vector_72,feature_vector_73,feature_vector_74,feature_vector_75,feature_vector_76,feature_vector_77,feature_vector_78,feature_vector_79,feature_vector_80,feature_vector_81,feature_vector_82,feature_vector_83,feature_vector_84,feature_vector_85,feature_vector_86,feature_vector_87,feature_vector_88,feature_vector_89,feature_vector_90,feature_vector_91,feature_vector_92,feature_vector_93,feature_vector_94,feature_vector_95,feature_vector_96,feature_vector_97,feature_vector_98,feature_vector_99,feature_vector_100,feature_vector_101,feature_vector_102,feature_vector_103,feature_vector_104,feature_vector_105,feature_vector_106,feature_vector_107,feature_vector_108,feature_vector_109,feature_vector_110,feature_vector_111,feature_vector_112,feature_vector_113,feature_vector_114,feature_vector_115,feature_vector_116,feature_vector_117,feature_vector_118,feature_vector_119,feature_vector_120,feature_vector_121,feature_vector_122,feature_vector_123,feature_vector_124,feature_vector_125,feature_vector_126,feature_vector_127
0,../data/input_images\20210620_020217_600_0001.jpg,"1328, 760",1,1328,760,,,,-0.4128023,2.7973733,-1.9088335,-2.001182,0.17206264,1.8137261,-0.5034147,-1.6600683,1.0150518,-0.76883763,-0.07392247,-1.5698214,-0.9429641,1.0125958,1.0398504,-2.68123,-0.44094676,-2.0387647,-0.7060133,1.0365055,-0.07943233,1.3183486,1.7527657,1.1440706,0.49448544,0.88196236,-0.40135208,1.8586317,2.281653,0.9778459,2.655205,-1.4382821,1.327662,-1.887378,0.18980233,-0.2384456,1.3434781,-0.09290592,0.36652136,1.0039539,0.11845492,1.5338643,0.55151355,-0.54128253,-1.7266098,1.6825745,1.3155752,1.6492122,-1.5503308,-2.2962828,-1.1434331,-1.051352,-0.012470074,-0.5921062,-0.2209671,-1.1969945,0.83500576,1.4723996,-1.0887319,0.34541127,0.49612117,-0.4229743,-0.92549443,-1.3565962,-1.9041412,-0.336841,0.4742058,-2.7727332,1.5822382,0.6297543,0.4373303,-0.7062849,0.49052802,0.9747649,2.060292,0.15167138,0.49837384,-1.1851025,-1.5066773,-0.8094226,0.9579806,-3.4333534,-0.7395038,1.6855028,1.75294,3.6573744,0.74618506,-3.1843219,1.5012631,-0.15983821,-1.9293588,-0.22846228,3.3880177,-0.025475482,-3.1888058,0.91170883,1.9452629,-1.7622883,0.17231253,1.9317331,1.933141,0.6058262,1.7115104,-1.048274,-1.2212024,-1.73122,2.1232824,0.63142043,-0.4226346,-1.5818093,0.9131333,1.0487734,0.7427565,0.5887889,0.78438854,0.13502799,-1.6022003,0.42592305,0.23068947,0.9444649,-0.60677147,-1.0460901,0.7671454,1.2300117,-0.35782918,-1.5856054,0.8431064,-1.3498155
1,../data/input_images\20210620_020217_600_0001.jpg,"3984, 760",2,3984,760,,,,0.8258129,1.3426673,-1.5305367,-0.86875814,-0.060361676,0.87455344,-0.058306225,-0.39264274,0.5984782,-1.168395,-0.9729459,-0.95671844,-0.55707765,-0.0029358882,1.4921587,-1.3973147,0.62176454,-1.364195,-0.3987228,0.72897804,-0.9417398,1.3054231,0.27669063,-0.9471892,-0.81492645,0.20099734,-0.61798465,0.6578987,2.2314293,1.1570826,2.1573675,-1.0460824,1.385883,-1.3406801,-0.18915233,-0.41482908,1.2816042,-0.5772052,-1.0953676,1.5234224,-0.020595523,0.5991605,0.8086636,-0.7116471,-2.2093542,0.62772137,0.5817717,0.82266116,-1.1007212,-0.59501344,-0.7198787,-0.6274374,-0.17859702,-1.2903916,0.000867825,-0.4024477,1.145539,0.67822903,-0.021874104,0.23314886,1.2809618,-0.27993786,-0.034459516,-0.6711045,-1.596369,-0.076208055,-0.7145355,-1.6660761,1.5858262,0.3115798,0.3024965,-1.4298086,0.71615416,1.560376,1.7509118,1.1135836,0.18385877,-1.167387,-1.2825872,-0.8994007,0.39998394,-1.8715918,-0.3800699,1.2290769,1.3690472,2.4122493,0.5647881,-2.298573,0.07863161,0.45736542,-0.67482984,-0.44976503,2.6532726,-0.06311649,-0.40422302,0.11178848,1.6251867,0.20316118,-0.4113826,0.8428143,0.29471272,0.17192464,1.0570219,-1.0019884,-0.90133786,-1.0545638,1.5376017,1.1404248,-1.0312814,-1.4210958,1.6366174,0.58578944,0.5633658,0.5270313,0.13005765,0.8495122,-0.7115761,-0.54733294,-0.45408025,0.029853191,-1.5159209,-0.51296645,0.58494115,0.99009407,0.02539388,-0.033759113,0.5493096,0.019718401
2,../data/input_images\20210620_020217_600_0001.jpg,"2656, 1520",3,2656,1520,,,,-0.25793004,1.5420055,-1.5489309,-2.580584,0.3725956,2.8583133,1.3211671,-0.77234846,0.8718997,-2.081315,-0.41887105,-1.3279376,-1.0787456,-0.051507086,1.4782383,-1.7895566,-0.793737,-1.4699688,-0.84755415,0.9767549,-0.6242273,1.6968309,0.50082016,0.1290335,-0.71442705,1.1364163,-0.20416708,-0.0048464984,1.9192176,1.7881681,2.489418,-1.6288377,2.0047543,-3.1273336,-0.10290423,-0.41650784,1.3967866,-1.4466314,-0.62363416,0.2024638,0.18122044,0.2743279,0.8455914,-0.46962044,-0.9297405,1.6942714,0.84954715,1.840569,-0.03796438,-1.0746696,-1.1459337,-1.6064491,-0.112479314,-0.26491094,-0.29475722,-0.44604677,1.3652272,1.4937576,-0.8706981,-0.03136523,0.6671053,-0.16988736,0.65049666,-1.8740631,-0.8060801,-0.20128945,0.46790317,-2.2060146,2.0162587,0.48372686,-0.47936177,-0.45807353,1.2975696,1.2184516,2.4583375,0.20230442,0.5467298,-1.6535704,-2.20458,-0.97048277,0.92268527,-2.9488096,-1.1504872,0.51386213,1.6818767,3.544217,1.9427588,-3.3330238,1.2767123,1.0178443,-0.79521644,-0.44005334,4.0213943,-0.11558454,-1.9795752,0.18517841,1.7140768,-1.0870693,-0.082772665,1.6426704,1.6832008,-0.8346582,2.1269894,-0.9461709,-2.2929294,-1.5900618,1.7489201,0.43563318,-0.7604522,-1.0321876,0.77919346,1.223099,0.77939487,-0.050215397,-0.13998711,0.40477675,-2.1538672,-0.043253355,0.6743379,-0.44534773,-0.54453206,-1.1467881,0.9928917,1.5031915,-1.1601403,-1.0726714,1.4479885,-0.87563
3,../data/input_images\20210620_020217_600_0001.jpg,"1328, 2280",4,1328,2280,,,,0.6513361,1.5472432,-1.8733144,-1.5566764,1.077687,1.9239411,0.9093216,-0.5455674,1.2690469,-1.1096644,0.17208008,-1.746567,-1.6492344,0.22880799,1.7990764,-1.4604105,-0.59917384,-2.3107307,-0.60036045,0.0069662323,-0.11973563,1.4886448,1.0667639,1.8057461,0.09196184,0.3841319,-1.1479261,1.0318456,2.8129003,0.66068196,1.5689304,-0.8726578,0.6505055,-1.1334647,-0.9896776,-1.1792406,1.1116672,0.094735906,-1.3982141,-0.09539266,-0.22579078,0.8510469,-0.14653109,-1.1000221,-2.7315907,0.25201857,1.0656619,1.5859582,-1.4492197,-0.3998868,-1.2511743,-1.0638984,0.53436935,-0.34276742,-0.5429753,-0.3842663,0.44982857,0.2931954,-1.2965549,0.58965707,1.5372411,-1.6723695,-0.97553724,-0.3101613,-1.5687988,-0.78672814,0.6677328,-0.27611038,1.2873238,0.2602841,0.08248703,-0.6768986,0.67174876,1.6617334,2.2881925,0.22880857,0.02196972,-1.8574952,-1.6209037,-0.6474943,0.5306711,-1.4797776,-1.1508875,1.3660395,1.2548734,2.398975,1.699505,-2.9532475,0.71442366,1.285074,-1.6662039,-0.6277813,3.1583748,-1.011509,-1.0962596,-0.67361164,0.26268643,0.5844655,0.29578483,1.4850205,0.5762577,0.37657195,1.4348314,0.22047967,-0.5041035,-1.8522768,1.5881498,-0.3871134,-0.9589515,-1.8140929,2.3248038,0.16498365,1.2634509,-0.00032436103,0.4173867,0.2231717,-0.6711498,0.4985748,-0.4358255,-0.5194704,-0.6535162,0.20341934,0.69627696,1.0956748,-0.36983395,-0.9266333,-0.12824798,-0.054223668
4,../data/input_images\20210620_020217_600_0001.jpg,"3984, 2280",5,3984,2280,,,,0.40788022,1.0822068,-1.4358939,-0.80153775,0.10026191,1.926028,0.15483144,1.0247743,0.37133074,-1.7024564,-0.96285605,-1.4877449,-1.005105,0.9845373,1.2190745,-2.0156698,-1.1065475,-1.6880075,-0.63218695,0.3059377,-1.3730028,0.96793896,1.2590224,0.30400825,-0.76349014,0.37187243,-0.3392475,0.66204643,1.3518854,0.7506299,2.7143948,-1.1643698,0.8916451,-1.3437613,-0.5403757,-0.49031,1.7325715,-1.1756494,-0.63704,1.1827136,-0.11430985,-0.20249546,0.40899503,0.41890374,-2.3197114,1.6059241,0.35116017,1.4549754,-0.6370138,-1.0747726,-1.3660359,-2.1846762,0.30876538,-1.4909312,0.36035085,-0.2701275,1.7380083,1.3879924,-0.33421296,-0.8342446,1.2121309,-0.37962273,-1.1431537,-0.8478674,-0.7062987,-0.5489072,-1.0476373,-1.4581935,1.7687395,1.2202525,0.37836295,-1.1679014,0.6425343,1.707723,1.3911663,1.1115367,0.41065323,-0.96456414,-1.3980422,-1.4856783,1.342962,-2.5767202,-0.38439235,1.649721,0.71466684,2.1065674,1.3181483,-2.8339918,1.4334886,1.1857806,-0.84218293,0.71399534,3.5352602,0.22810307,-1.0665412,0.0133879185,2.0115447,-0.46386763,0.14815944,2.0952458,0.88683206,0.1455409,2.4373193,-0.111117646,-1.6388414,-1.1196235,1.965441,0.6496974,-0.9784783,-0.8193074,2.14686,0.24978052,1.8671367,0.35685313,-0.12759233,0.8988654,-1.2547535,-0.26920548,-0.3523464,-0.5910662,-0.10534817,-0.7518397,0.8602329,1.3733106,-0.64046645,-1.2113066,2.0054526,-0.82052445
5,../data/input_images\20210620_020258_900_0153.jpg,"1328, 760",1,1328,760,,,,-1.2414517,1.9874109,-1.8722498,-1.6867054,0.7442649,2.3211575,-0.9408136,-1.5760088,1.9066811,-1.3025434,-0.013240496,-0.91449153,0.15169878,0.90792185,0.8183028,-3.230526,-0.8075402,-1.1618176,-0.44315434,1.1377903,1.126122,1.1873411,1.8021798,0.78510004,0.85650384,1.0420885,0.6770364,0.6790739,2.126749,1.1521659,3.2087321,-1.6975458,2.5577936,-2.25645,-0.29027668,-1.23659,1.0736673,0.30913523,0.09014875,-0.3327747,-0.9847894,1.5336351,-0.019103825,-0.95720947,-1.5934786,2.1171954,0.38944322,0.6856258,-0.82047635,-0.8296863,-1.1131324,-2.3095357,-0.16960558,-0.8362242,-0.6223726,-0.40941516,3.1212091,2.4982567,-1.3427122,1.9205633,-0.09079073,-0.3666054,-0.7091882,-1.0303361,-2.4317288,0.06488496,0.1098647,-3.3529778,2.0901527,0.02764298,0.05676374,-0.8925031,0.84731644,2.5379033,2.545455,0.6544216,0.14790323,-2.0180554,-1.7620825,-1.029367,1.3140963,-3.5649004,-0.5054561,1.3765608,1.1881284,4.2417903,0.8357757,-2.6298947,1.0237839,-0.14926639,-1.4606066,-0.96391165,1.7745544,0.9088463,-2.1676984,0.35367075,3.2837136,-1.1827482,-0.96975654,0.33090517,1.8651234,1.2709442,2.3987865,-0.89013803,-1.3796636,-2.2436914,1.515243,0.30194047,-0.49835432,-1.5828155,1.3831611,1.5024648,0.5557657,0.8658674,-0.63060963,-0.19614434,-2.2160974,1.1156151,1.0541362,-0.7499897,-1.7906634,0.33647418,-0.04277328,0.90920216,-0.003087476,-0.8842077,1.2215403,-0.12853152
6,../data/input_images\20210620_020258_900_0153.jpg,"3984, 760",2,3984,760,,,,-0.15356994,1.4898921,-2.0760593,-1.2395506,-0.13801223,1.6182766,0.433291,-0.60748625,0.5789349,-0.5520793,-0.38886783,-1.032216,-0.765528,0.28926542,1.4046752,-1.631567,-0.38848212,-1.5791657,-0.92128026,0.34264243,-0.8307267,1.0306102,0.56187135,-0.31962505,-0.05770068,1.0055916,-0.7689458,0.9381183,1.9334853,0.9805646,2.530959,-1.2780881,0.40317988,-1.8017205,0.15908185,-0.5674073,1.4339819,-0.263124,-1.6541047,0.95259124,-0.063910425,0.4018222,0.0764976,-0.79279065,-2.3035533,1.6941162,0.18906128,0.48086792,-0.43134004,-0.9878278,-0.9720166,-1.239887,0.08666943,-1.597349,-0.42144024,-0.16669339,2.578156,0.7835524,0.10811041,0.032723695,0.951671,-0.9779444,-0.5929676,-1.1501513,-1.7503926,-0.5492831,-0.4333906,-1.3946676,1.7636869,0.6958681,0.72488916,-0.8245195,0.98525685,1.3691984,2.0106502,0.62643635,0.21917044,-1.3308319,-1.8953692,-1.8030145,0.9487207,-2.478987,0.47261328,0.8020624,0.975662,2.7025247,1.5438042,-2.1823153,-0.4433437,1.217454,-1.3085668,-0.45558006,2.3325577,0.92159474,-1.1094168,0.50000596,2.0535815,0.15129678,0.0952649,1.1069093,0.86024827,-0.058873713,1.71103,-0.3181774,-1.3634089,-1.457023,1.5024083,1.1096325,-0.9989002,-1.027425,2.2670677,0.87194526,0.8376514,0.6141579,-0.96822625,0.7636986,-1.5756371,-0.28531978,-0.01991807,0.13251765,-0.89225096,-0.60045314,0.55844194,0.936898,-0.8950106,-0.7277409,1.0240223,-0.22349241
7,../data/input_images\20210620_020258_900_0153.jpg,"2656, 1520",3,2656,1520,,,,0.91311115,2.814701,-1.0610982,-1.3246479,0.4759472,2.4030716,0.29440618,-1.6924787,0.60946584,-0.5458743,-1.057009,-1.7991744,-0.59821373,1.750644,0.8540966,-2.2782266,-1.6368618,-1.5127343,-1.1703411,1.6339854,-0.5887508,1.8201644,2.1702242,0.71052325,-0.05207622,1.7264036,0.23534766,0.12815292,1.5126309,0.23289333,2.9438903,-1.9555204,1.8508872,-1.9880186,0.34515032,0.0021189675,1.0645778,-1.03752,0.21519943,-0.43367878,-0.3964366,-0.32995847,-0.26333132,0.019672617,-1.8648472,2.5151722,-0.15951934,1.190897,0.12883992,-1.6922464,-1.7060469,-1.8328226,-0.42663604,-0.60910463,0.15078938,-0.30858928,1.3867925,2.2456765,-0.515292,-0.7433952,1.4904292,-0.21494105,0.52188283,-2.913972,-2.448997,-0.50554454,0.42397478,-2.2808154,2.006348,1.374527,0.56264716,-0.74559844,0.45909485,0.94975406,2.4068885,0.2527839,-0.06161857,-0.10304337,-1.5506504,-1.860358,1.0833836,-4.026172,-0.37107784,1.1555481,2.0386395,3.865089,1.5171497,-3.6710217,1.489981,-1.0202453,-1.69091,0.21901734,3.0415845,-0.34192213,-2.9150095,1.7797346,2.3173223,-1.9455523,-0.8610442,2.3481271,1.9136816,0.4505438,2.3744366,-1.1706836,-1.8783377,-2.0347896,1.4695973,0.994068,0.25409752,-1.3028638,1.4236655,1.185228,0.74479896,0.45178986,-0.011955507,0.50540966,-2.773013,0.61403596,-0.08756535,0.7898816,-0.11563039,-0.41042972,0.59897965,0.82940185,-1.2284998,-2.5772128,1.726857,-0.5574635
8,../data/input_images\20210620_020258_900_0153.jpg,"1328, 2280",4,1328,2280,,,,0.4205806,1.4762976,-1.3472083,-1.4805338,-1.0673461,1.5723103,0.747977,-1.060761,0.49987644,-1.7558411,0.00964791,-0.6841334,0.29833376,0.48511475,1.4129579,-2.0528402,-1.2141066,-1.6195371,-0.79626334,0.42162088,-1.0184063,-0.06486614,0.489182,0.467867,-0.18760756,0.9093568,0.1344772,0.2329963,1.8828976,0.6944338,2.522477,-1.4109098,0.7371361,-2.0506191,-0.39391705,-0.5205727,0.4349335,-0.015299905,-1.2057196,0.36020994,0.31638533,-0.32185912,-0.5432409,-0.8973397,-1.4173183,0.4352652,0.3585921,0.49352032,-1.0907173,-0.87226266,-0.80785036,-1.5130341,-0.6336649,-1.1695431,-0.33543026,-1.0838779,1.5943851,1.0883733,0.34976137,0.2956096,0.9210994,-0.42983523,-0.49558955,-1.131382,-1.6787981,-0.9816203,0.87986195,-1.3106511,0.586029,1.1964709,0.392286,-0.5657235,0.68427116,2.3745573,1.2342594,1.6103753,-0.278037,-0.6334962,-1.0455617,-2.3161864,0.6832545,-2.79419,-0.6403972,1.2073288,1.0218027,1.9492468,2.1286426,-1.6819165,1.1001925,-0.04384117,-0.98666924,0.5494708,2.737947,0.041853614,-1.5294647,-0.21808842,2.1030736,-0.6759813,-0.36156404,2.0170805,0.8243675,0.18475924,1.9281079,-0.48860997,-1.4099996,-2.0083025,1.2705541,0.42752326,-0.6461853,-0.8714913,0.43667236,0.711837,1.4872699,0.04505234,-0.60266894,1.1009433,-1.4871379,0.12419048,-0.28231177,-0.5032856,-0.27753592,-0.56198883,0.20365535,0.48419696,-1.2692347,-1.0127922,1.4397243,-0.56949836
9,../data/input_images\20210620_020258_900_0153.jpg,"3984, 2280",5,3984,2280,,,,0.36130962,1.3831556,-0.9093579,-1.2653133,-1.0918505,1.9614779,1.0953773,-0.5135106,1.0715554,-0.56807154,0.053618833,-1.752262,-0.7029978,0.13225381,1.4807281,-2.7966352,-0.46019536,-2.2836773,-0.09546417,0.34644538,0.14415066,0.7507212,1.5454999,0.30653724,0.007867202,0.037499435,-0.5230371,0.36485738,1.7870042,0.25982207,2.4371715,-0.9419291,0.39114216,-1.3980613,-1.5098252,0.011842657,0.7691803,-0.021091215,-1.131499,-0.381569,0.08720207,-0.18771377,-0.25520012,0.054261714,-1.3306868,0.16178367,-0.16200247,0.57474476,-0.4321582,-1.3043104,-0.70629215,-1.4137821,-0.68090326,-0.5755093,-0.9999374,0.6378407,-0.19077766,1.0499346,-0.5560623,0.65419585,1.4725422,-0.58539367,0.43675885,-0.114125334,-1.7694736,-0.78163576,-0.20828533,-1.1169946,1.296369,-0.50878316,0.41458055,-0.87273705,0.8767755,1.2414656,1.8776329,-0.3240737,0.41352144,-0.46829396,-0.643615,-1.5442977,1.3456379,-1.9844468,-1.6784639,1.4451749,1.7366812,1.2777959,1.2719792,-1.4207833,-0.56500506,0.59150326,-1.6008114,-0.20257348,2.3954744,-1.0123622,-1.1823978,-0.27705905,0.9156739,-0.68513703,-0.67690694,1.4234223,0.7371825,0.05183099,1.0807456,0.6495093,-1.038902,-2.4674256,2.2088985,-0.25215983,-0.25320438,-1.3520899,1.0275003,-0.16119348,2.656895,0.28185636,0.17271496,0.7239121,-1.3873323,0.49369758,-0.08581686,-0.7977512,-0.591289,-0.632752,0.8426601,-0.6382788,-0.6479684,-0.25186408,-0.00054330565,0.26976815
