index,image_path,point_coordinate,point_num,point_x,point_y,image_id,point_id,point_human_classification,feature_vector_0,feature_vector_1,feature_vector_2,feature_vector_3,feature_vector_4,feature_vector_5,feature_vector_6,feature_vector_7,feature_vector_8,feature_vector_9,feature_vector_10,feature_vector_11,feature_vector_12,feature_vector_13,feature_vector_14,feature_vector_15,feature_vector_16,feature_vector_17,feature_vector_18,feature_vector_19,feature_vector_20,feature_vector_21,feature_vector_22,feature_vector_23,feature_vector_24,feature_vector_25,feature_vector_26,feature_vector_27,feature_vector_28,feature_vector_29,feature_vector_30,feature_vector_31,feature_vector_32,feature_vector_33,feature_vector_34,feature_vector_35,feature_vector_36,feature_vector_37,feature_vector_38,feature_vector_39,feature_vector_40,feature_vector_41,feature_vector_42,feature_vector_43,feature_vector_44,feature_vector_45,feature_vector_46,feature_vector_47,feature_vector_48,feature_vector_49,feature_vector_50,feature_vector_51,feature_vector_52,feature_vector_53,feature_vector_54,feature_vector_55,feature_vector_56,feature_vector_57,feature_vector_58,feature_vector_59,feature_vector_60,feature_vector_61,feature_vector_62,feature_vector_63,feature_vector_64,feature_vector_65,feature_vector_66,feature_vector_67,feature_vector_68,feature_vector_69,feature_vector_70,feature_vector_71,feature_vector_72,feature_vector_73,feature_vector_74,feature_vector_75,feature_vector_76,feature_vector_77,feature_vector_78,feature_vector_79,feature_vector_80,feature_vector_81,feature_vector_82,feature_vector_83,feature_vector_84,feature_vector_85,feature_vector_86,feature_vector_87,feature_vector_88,feature_vector_89,feature_vector_90,feature_vector_91,feature_vector_92,feature_vector_93,feature_vector_94,feature_vector_95,feature_vector_96,feature_vector_97,feature_vector_98,feature_vector_99,feature_vector_100,feature_vector_101,feature_vector_102,feature_vector_103,feature_vector_104,feature_vector_105,feature_vector_106,feature_vector_107,feature_vector_108,feature_vector_109,feature_vector_110,feature_vector_111,feature_vector_112,feature_vector_113,feature_vector_114,feature_vector_115,feature_vector_116,feature_vector_117,feature_vector_118,feature_vector_119,feature_vector_120,feature_vector_121,feature_vector_122,feature_vector_123,feature_vector_124,feature_vector_125,feature_vector_126,feature_vector_127
0,../test-images\20230112_061308_000_6852.jpg,"1328, 760",1,1328,760,,,,0.64470416,0.8288272,-0.62217206,0.041793324,-0.054690085,2.8753304,2.5021534,-0.8107317,0.62034386,-0.5754077,-0.9076722,-1.9264947,0.0071326317,-1.1723222,0.6650698,-0.8526792,1.5306835,-0.704877,-0.9646331,0.53829813,1.6630907,-0.9105061,1.1358378,-0.78081846,-2.941059,1.3453493,0.51739824,-0.24139644,-0.7114742,1.808658,1.4338443,-2.5948944,2.0689669,-0.8683131,-0.16967663,0.69650954,0.2937993,-1.4770753,2.5641804,0.760713,-0.2700919,0.9583462,0.41473514,-0.6950365,-0.05175948,1.374948,1.3348811,-0.6142444,-0.46624577,1.0094873,-0.042719033,-1.8155354,0.5210384,0.93919504,2.5713334,-0.89026433,0.64932644,1.6855357,-1.2749479,1.4205395,1.7246642,-0.6134378,0.7531715,-1.4711919,-1.6723124,0.2780281,1.0076063,0.62265116,0.27075887,-1.0902234,-1.4011589,0.23203579,0.7328638,1.9272182,-0.75057733,0.7110937,-0.30389684,-0.4985724,-0.15512556,-0.101675235,0.8475843,-1.7858605,-2.611932,-0.24771886,2.2745056,-0.81100357,1.2568159,-1.7457577,0.7048717,-1.1554265,1.0661252,0.7129816,0.90980357,-0.81457293,-0.25593343,-0.055288173,-0.48797143,-0.94210577,-0.4515229,-0.3901036,1.0680561,0.038349677,1.265382,-0.08309124,0.24170391,-3.1402316,1.1283617,-0.96633875,0.35715237,0.46457106,-1.8265655,-0.39914685,-0.41615027,0.45969522,0.3790034,3.1511478,0.8838674,-1.0362829,-0.1325438,-0.33626372,-1.1313176,0.23895288,2.3146434,-0.5608007,-0.18613967,-0.24402054,2.2880893,0.6316778
1,../test-images\20230112_061308_000_6852.jpg,"3984, 760",2,3984,760,,,,1.9524446,1.225501,-1.036643,1.5806749,0.98668545,2.6524425,2.2495065,-1.0040329,1.3557395,-0.6804852,-1.187193,-1.754631,-0.63268685,0.10224636,1.0852644,-0.9263227,1.5564171,-2.0151854,0.72530764,-0.5594828,1.0158232,-0.7435081,1.5062783,-0.8668995,-2.1450498,-0.70920616,0.7450465,-0.751138,1.0361001,0.31382897,0.8445714,-1.4036858,2.0954857,-0.5969938,-0.99562734,1.5491648,0.40552747,-1.4529617,1.9504967,-0.40574804,-0.41066468,0.75004995,0.8279054,-1.3969096,-1.1516172,0.056000397,0.66209567,-1.201002,-1.3152487,0.9308239,-0.6573816,-1.0578209,-0.28711987,-0.3116399,2.361298,-0.12094052,-0.66573775,2.279561,-1.9270759,2.6538243,1.2699629,-0.5940545,0.13603494,-0.7545214,-0.37532228,-0.20784792,1.1209122,0.07799396,-0.23412332,-2.8724427,-1.6109865,-2.1928976,0.5981109,0.8521667,-0.9813069,0.13123494,0.791149,-0.5562371,-1.3876915,-0.19248627,0.19626883,-1.2550771,-2.322515,1.1785893,1.7878709,-0.09785247,1.9204001,-0.19604936,0.33606315,-1.6691418,1.4160597,-0.42033377,-0.18231031,-0.8659713,0.35730648,-0.546,-0.37212288,0.5495572,-0.3653834,1.3779664,-0.25194174,2.1749544,1.084278,0.61153567,-0.5448804,-3.5376985,1.3688426,0.4229166,-0.9921104,-0.96328616,-0.3136997,1.0163062,1.4805168,1.3081226,1.1346811,1.9680648,0.69758767,-2.2310143,-0.44558835,0.43529066,-2.0034714,0.58703935,2.0738528,-0.31607693,1.6947377,-0.15672149,1.2558167,2.1317031
2,../test-images\20230112_061308_000_6852.jpg,"2656, 1520",3,2656,1520,,,,1.7603085,0.9865218,-2.0689764,-0.8034594,-0.87404776,3.3802056,1.7713934,-1.2754664,-1.340393,0.79673517,-1.0637093,-1.3289113,-0.78641033,-0.56926036,0.8306417,-0.7000078,-0.3878079,1.1425178,0.3733796,0.37838894,-0.6005055,-0.65012246,1.30141,-0.4708255,-2.0898614,0.6629642,-0.32252428,-2.3373013,-0.33205935,0.11148168,0.8112347,-1.424527,1.6096823,-1.4008312,-1.394671,1.5391785,0.24887364,-1.8023001,1.1785765,0.7283328,0.8033066,1.0648785,-0.5974796,-0.46458778,0.42363995,-0.48258352,0.05700472,-1.5189985,-1.1826375,0.7597542,0.3142336,-2.1737318,0.43487486,1.4672873,2.7737455,0.23432949,-0.10741246,1.4705508,-0.97569203,0.74721277,2.0753472,1.4070281,0.57312167,-1.419838,-0.64804375,-0.30545035,0.39350444,0.6950859,1.1828244,-0.73813194,-0.7070027,0.8371615,-0.922856,1.9127743,-0.3099198,2.1199021,-0.35210055,0.2855483,-1.5039321,-0.8410362,-0.57503676,-1.5291489,-1.0633675,-0.5238227,0.8613746,-0.1476357,1.5139682,-0.3342075,-1.3737392,-1.1488328,1.4582386,-0.8239193,0.085981935,-1.2100679,-0.16081712,-0.1585868,-0.13567838,0.078538075,-0.65450144,-0.62959343,0.64730275,0.20716606,1.5670648,-1.1848036,-0.3606273,-2.183645,1.5461934,-0.21370727,0.3078448,-0.5238479,-0.12559487,-1.3000858,0.2761469,-0.1704487,0.75821936,2.216079,-0.1898993,-1.4028903,0.10798653,0.33403078,-0.9757717,-0.053771883,1.0446707,-0.63238853,0.056507483,1.3531076,1.7040131,1.4799582
3,../test-images\20230112_061308_000_6852.jpg,"1328, 2280",4,1328,2280,,,,1.3974315,0.6718404,-1.3124636,-0.5251837,-1.1572974,2.316688,1.2110739,-1.3190914,0.26060027,-0.6942091,-1.4870658,-0.3123664,-1.2536538,-0.08743637,0.20477706,-1.7878783,0.8073708,-1.766512,1.0958699,-0.600803,0.30579656,0.45176232,0.78979194,-0.112967975,-2.9606411,-0.95164925,-0.6050118,-1.290038,0.25392163,-1.0261046,0.8025845,-0.84381187,2.1882603,-0.2457076,-0.7216002,1.3468288,1.2613947,-1.3123565,1.2087135,-0.08680556,1.478071,-0.5358456,-0.13696304,-0.8650352,-0.3675454,-0.87270856,-0.098271035,-1.1914005,-1.1021596,1.4702895,-0.80529886,-0.60322,-0.9979742,-0.2503929,1.9419541,-0.07815972,-0.5014648,2.188932,-0.830578,1.9156613,-0.22582114,0.42133117,0.56397814,-0.10028042,-0.4248386,-0.39536637,-0.5986761,-1.8526824,0.2858801,-1.9724174,-1.6545072,-1.2497543,0.45415407,0.63096154,0.332943,0.6538994,1.5516276,-0.41551256,-0.2603977,-0.055109,1.0743833,-1.5816656,-1.8353648,-0.2612883,-0.07636602,0.7794775,1.1503577,-0.112626135,0.32142344,0.0073936135,1.7938913,-0.5958738,0.12613992,0.16529274,0.3483185,-0.35513267,0.3844613,1.8042107,0.14935935,1.5794307,-0.35945576,0.90927225,0.96685755,1.0119469,-1.0595555,-2.6471539,1.1874127,0.4862101,-1.077851,-0.49314258,-1.2903671,0.38308382,1.0338827,0.18710992,-0.5402403,0.680421,-1.4755831,-1.1076373,1.1294823,0.114913225,-0.96052206,-0.29415393,0.17299145,-0.002823785,0.9036867,0.66397077,1.1245773,1.7509714
4,../test-images\20230112_061308_000_6852.jpg,"3984, 2280",5,3984,2280,,,,1.2785392,0.58504647,-2.511022,-1.5867388,-0.94015247,3.1556263,0.8024993,-1.3814913,-0.82678396,-1.266881,-0.75861144,-0.5896719,-1.9161572,-0.6807089,2.1631463,-2.5851245,0.48013264,-0.62087506,1.2242066,-0.7539834,0.425649,-0.38551247,1.1966075,-0.020145463,-3.1855874,-1.8049575,-1.0542507,-1.2398095,0.7224562,-1.1475908,1.3298541,-1.5036111,1.0719298,-1.0195773,-1.0797813,0.8410464,0.46976823,-0.7580353,0.6507164,0.6013131,-0.6123937,0.12405018,-0.41329333,-1.5455503,0.23532023,-2.449036,-0.15711331,-1.6485591,-1.5008593,0.9239789,-0.14404213,0.11932722,-2.5722368,0.27146214,1.7639375,-0.7651813,-0.59474325,1.8945564,-0.6232681,1.5552096,-0.15237793,-1.1614304,-0.40198976,0.28176168,0.30500793,0.116339125,1.076825,-1.9533846,-0.04403473,-1.5546197,-0.88079,-2.008037,0.18982169,0.3905218,-1.718014,0.94486177,0.64260966,-2.0361035,-0.45298818,-1.0250741,0.67142797,-1.7482963,-2.3250875,-0.43974268,1.1278944,0.47754538,-0.09277412,-0.9705266,0.2513897,-1.2227958,2.1725967,-0.45869258,0.41726768,-0.6887586,-0.08153029,-0.25550586,2.302631,0.74239814,0.56915134,1.6441724,-0.35383925,1.2899541,-0.14511223,1.7984296,0.8028873,-3.565695,0.66935843,0.75052047,-0.6408123,-0.26829076,-2.313588,-0.6926786,1.8366209,-0.40220815,-0.28596395,1.7484527,-1.3214924,-0.97919786,1.018365,0.21551508,-0.37594947,0.90177405,-0.2878503,-0.56125456,0.81250226,0.7834492,0.06502591,1.3347707
5,../test-images\20230112_061308_000_6853.jpg,"1328, 760",1,1328,760,,,,0.32528856,0.8581407,-1.363998,-1.0550957,-0.31451303,2.0699682,2.6960187,-1.8776304,-0.18788245,0.79454726,-2.0831969,-1.5155348,-1.0735937,-0.08633746,0.5518851,-0.0109143015,0.3874399,0.48263693,0.37827346,1.2536387,0.10294467,0.27207333,3.4077666,0.5603428,-1.8217473,-0.1961715,-0.0088391425,-0.6364891,-0.272843,-1.291861,1.392652,-0.889531,-0.08791028,0.30814573,-0.3373046,0.94243985,1.5698586,-1.3946098,1.3318372,0.5183661,-0.4674067,-0.4930099,1.0681807,-0.3358407,-2.5805326,0.39745563,-0.9872625,-0.9349636,-1.820405,0.72505915,-0.525732,-2.3709188,0.818805,0.51980615,3.9970067,-0.44262347,1.6062505,2.0033228,-1.4309958,0.6301863,2.6670873,0.2723957,-0.26892823,-0.7480843,-2.0656874,-0.3559724,0.17986406,1.5681276,0.47679648,-2.4599361,-0.43249708,-1.1669482,0.6752687,0.704633,-1.1071314,0.86638004,0.22394675,-0.46214402,-1.9581587,-0.44886768,-0.18092132,-1.9522787,0.049853787,-0.13828255,2.1388464,0.33149332,2.0772388,-0.8833225,-1.2745705,-0.88620067,0.47497642,0.1389163,-0.1441523,-0.30319583,0.08720691,0.2458655,-0.21849981,0.54983675,-0.86458814,-0.112621196,0.15592402,1.8446536,0.8295096,-0.20523861,-0.9667773,-2.5861201,1.5831115,0.15830828,-0.31689042,-2.2650037,0.004078813,0.45795056,1.1490436,1.7585416,0.96352667,1.4948502,0.54936814,-1.6417959,-0.61057484,0.0940976,-1.7824244,-0.28113702,1.9147284,0.32101363,0.71848845,-0.33595783,0.09628595,1.3910183
6,../test-images\20230112_061308_000_6853.jpg,"3984, 760",2,3984,760,,,,1.7720695,1.1537552,-1.9348787,-0.56727403,-0.7957259,2.3013687,0.39233363,-2.7914863,0.3077718,0.23648451,-1.2746079,-1.6008856,-2.4880912,0.18444884,1.4559523,-1.5980473,0.7800344,-1.5708971,1.6430763,0.40177846,0.23985809,1.1191385,1.2948998,-1.3735142,-1.4117671,-0.23483866,-0.2776501,-0.6816435,1.0850087,-0.20774452,0.9762956,-1.3283796,1.950713,-0.9076824,-0.92325896,0.7085155,1.4431978,-0.8727652,1.0312479,0.14388402,0.971539,0.12294543,0.9939996,-1.5689638,-0.45335487,-0.6745538,-0.5162658,-1.0642958,-1.0513638,0.57542986,0.003618069,-0.5460547,-0.61162186,0.16542438,2.2145534,-0.35643083,-0.27727944,0.6768327,-0.04684884,1.705543,-0.5284623,-0.35112062,0.7658193,-0.45658895,0.2974351,-0.34424114,0.44210032,-1.7448767,0.260067,-2.8164098,-0.67048836,-2.1521366,0.31014404,0.2434741,-0.42903474,-0.0908986,1.3111998,-1.0955467,-0.092078686,-0.023233913,-0.026855519,-1.7317276,-2.778068,0.26093835,1.2979773,0.84303856,0.60746974,-0.2944466,-0.31711692,-0.51015663,0.2151618,-0.95117426,0.5155649,-0.52504987,0.6118549,-0.8329376,1.5774283,0.8780689,-0.74899215,0.53973657,0.7126869,2.1551812,-0.42361683,0.1714847,-0.39729714,-2.6269002,1.7942723,0.1150882,-0.42390776,-0.7182978,-2.8830767,-0.9462672,0.066898905,0.13331778,0.24689668,1.5424955,-1.4774227,-1.5256152,0.7757625,0.037700534,-1.0159053,0.52333486,-1.0411096,0.097149126,0.14585736,0.71475315,0.23982088,1.2925398
7,../test-images\20230112_061308_000_6853.jpg,"2656, 1520",3,2656,1520,,,,0.7518573,0.7297277,-2.4510715,-1.0458919,-0.43218938,3.5026796,2.7808192,-0.31399918,-0.12633727,-0.808426,-0.24356145,-2.5708704,-0.7830523,-0.13381663,1.3461593,-1.1898096,-0.08016451,0.8483092,-0.07280378,0.08912522,0.27851436,-1.6666296,1.043715,0.12779823,-2.8453996,1.4900302,-0.18773028,-0.90348494,0.43427575,1.1572542,2.506539,-2.3252094,2.7872074,-1.5279163,-0.48200423,0.81825346,-0.19608428,-1.4714742,2.8106413,1.5043973,0.29142392,1.7000462,0.8489143,-0.15024179,0.9995795,0.44300124,0.74729013,-2.0964038,-0.50777304,1.3849845,-0.009674717,-2.3685198,-0.38048518,1.2692533,3.2050326,-0.9351902,2.09654,1.1829151,-1.6296023,0.41978887,2.5396783,0.35131705,0.17963162,-1.9600539,0.5996103,-1.4398427,1.3443992,-0.6564742,1.2715247,-1.7807529,-1.3416034,-0.002765663,-0.35528448,2.281623,-2.021732,1.2822117,0.42404056,-0.1641522,-2.8562312,-0.65643394,-0.13563478,-1.7897395,-2.7611074,0.2964335,2.5670192,-0.8970518,1.0709401,-0.5680852,-0.029764282,-1.3739631,1.2661664,0.0890557,-0.20660555,-0.89507735,-0.5094048,-0.41596115,1.029095,-1.1103163,-0.29745665,-0.35693344,1.9565799,0.8650743,0.6107106,0.5123353,-1.2225568,-3.2740927,0.7288415,0.0788354,0.080004096,0.22074167,-2.514296,-1.4351463,0.16202456,0.022818014,-1.0163629,3.743894,0.43409023,-1.8844297,-1.1226373,-0.21695176,-1.1461616,-0.33395404,1.3123678,-0.7452462,-0.46956548,1.3211493,1.821708,-0.14973176
8,../test-images\20230112_061308_000_6853.jpg,"1328, 2280",4,1328,2280,,,,-0.30451927,0.77093935,-1.4801885,-0.74083203,0.22477469,2.8603165,1.6720481,-0.44211465,2.083014,-0.7599381,-1.4405242,-1.117844,-1.1539271,0.61602205,0.02244749,-0.10300342,1.3854256,-2.141665,-0.15638378,-0.7531034,0.37016433,-1.3096867,0.20039916,-0.263315,-2.361571,0.315297,-0.59499943,-0.5745575,-0.27743268,-0.068788856,1.7093804,-1.8792871,1.5114762,-0.7660787,0.39675647,1.4353999,1.5911013,-2.674109,0.72817874,1.0940858,1.3922743,1.1152828,1.9618379,-0.88298154,0.94286156,-1.228495,0.06474927,-0.47914362,-1.2063026,2.10504,0.21460727,-2.342006,-0.35295638,-1.8684016,2.708346,-0.056966268,0.97258687,0.6357745,-0.90775836,1.6401882,0.66167337,1.0511377,-0.30215955,-0.7927542,1.3937227,-0.21680795,0.5332292,-0.16879275,1.0570942,-1.8633726,-0.8875167,-0.3064893,0.7742539,1.6589744,-1.9154114,0.9858731,1.428694,-0.58523864,-2.3001623,0.6713465,0.19263057,-1.0597901,-1.2634184,-0.03047045,1.4928212,-0.8264969,1.0697178,0.96056694,-0.3639129,-0.76692975,2.3011584,1.1773006,-0.9301238,-1.076732,0.62201893,-1.0496535,0.073120944,1.3886276,-1.1400328,-0.45079622,1.9852742,1.3995218,0.5868376,-0.7360301,-2.466533,-3.3044076,1.167664,0.7863048,-1.2378584,-0.052659854,-2.4804487,0.07179746,0.6627749,1.4727901,-2.7108011,2.3681183,1.9281231,-3.8800852,-0.029864818,-0.47213775,-2.2479074,1.4741707,1.3303612,-0.6088935,0.20985296,1.4265456,0.86123264,1.2450356
9,../test-images\20230112_061308_000_6853.jpg,"3984, 2280",5,3984,2280,,,,0.5685938,0.4397162,-1.9272187,-1.6035423,-0.70935327,3.3558712,3.4362295,-0.20698604,-0.06387612,0.18148763,-0.55571276,-1.8121264,0.025352638,0.68208146,-0.053381145,0.21698326,-1.1675931,0.6749527,-0.47106647,0.7454535,0.02689597,-2.115015,0.3980268,0.24801415,-2.0468404,0.67341286,-0.2603886,-1.5068371,-0.17359185,1.6444098,2.5433128,-2.8109186,2.7296944,-2.2560687,0.23541795,1.2925355,0.5000239,-1.6274534,2.5028224,1.2611938,-0.2532716,2.253585,2.2253888,-0.72278404,1.6072462,0.81265914,0.5963026,-1.2184215,-1.0805705,0.81678057,0.008028559,-3.8261147,-0.19386569,0.099766195,2.9343486,0.91398376,2.2929785,0.8054589,-1.2384195,1.3870037,3.5802686,1.5637167,0.029407237,-1.7909378,0.90961754,-0.99419284,2.534611,1.2629216,2.0826578,-1.1198809,-2.3722842,0.17501214,-0.58176637,2.080024,-1.05091,0.17771128,1.2485418,0.1625918,-3.9540362,0.072014965,-0.825215,-2.6383524,-1.9186101,0.21991086,1.6355181,-0.4722538,1.3203243,-0.8730566,-0.6544331,-2.1065383,3.0275726,0.09487397,0.34465933,-2.4638147,-1.476959,-0.3588919,0.32149816,-1.6447463,-0.20021835,-0.31447333,3.1497703,0.9078699,1.5564196,-0.32094395,0.11771193,-2.7128172,0.88969153,1.4348009,-0.14725843,1.726885,-2.2088964,-1.6890433,0.28513896,0.81861985,-0.34970945,3.4202175,0.11086668,-3.9030962,-0.9311876,-3.4216442e-05,-1.4047676,0.371625,2.363125,-1.1839235,-0.53501713,1.0587364,1.9890088,0.6229756
