,image_path,image_id,point_num,point_id,point_coordinate,true_class,pred_class
0,../data/input_images\20210620_020258_900_0153.jpg,2141779,1,81590347,"1328, 760",S,S
1,../data/input_images\20210620_020258_900_0153.jpg,2141779,2,81590348,"3984, 760",S,S
2,../data/input_images\20210620_020258_900_0153.jpg,2141779,3,81590349,"2656, 1520",S,S
3,../data/input_images\20210620_020258_900_0153.jpg,2141779,4,81590350,"1328, 2280",S,S
4,../data/input_images\20210620_020258_900_0153.jpg,2141779,5,81590351,"3984, 2280",S,S
5,../data/input_images\20210620_020307_000_0183.jpg,2141780,1,81590726,"1328, 760",S,S
6,../data/input_images\20210620_020307_000_0183.jpg,2141780,2,81590730,"3984, 760",S,S
7,../data/input_images\20210620_020307_000_0183.jpg,2141780,3,81590735,"2656, 1520",S,S
8,../data/input_images\20210620_020307_000_0183.jpg,2141780,4,81590737,"1328, 2280",S,S
9,../data/input_images\20210620_020307_000_0183.jpg,2141780,5,81590742,"3984, 2280",S,S
10,../data/input_images\20210620_020315_000_0213.jpg,2141781,1,81590525,"1328, 760",S,S
11,../data/input_images\20210620_020315_000_0213.jpg,2141781,2,81590530,"3984, 760",R,R
12,../data/input_images\20210620_020315_000_0213.jpg,2141781,3,81590533,"2656, 1520",S,S
13,../data/input_images\20210620_020315_000_0213.jpg,2141781,4,81590536,"1328, 2280",S,S
14,../data/input_images\20210620_020315_000_0213.jpg,2141781,5,81590538,"3984, 2280",R,CM-B
15,../data/input_images\20210620_020319_800_0231.jpg,2141785,1,81591443,"1328, 760",S,S
16,../data/input_images\20210620_020319_800_0231.jpg,2141785,2,81591445,"3984, 760",S,S
17,../data/input_images\20210620_020319_800_0231.jpg,2141785,3,81591450,"2656, 1520",S,S
18,../data/input_images\20210620_020319_800_0231.jpg,2141785,4,81591459,"1328, 2280",S,S
19,../data/input_images\20210620_020319_800_0231.jpg,2141785,5,81591464,"3984, 2280",S,S
20,../data/input_images\20210620_020324_900_0250.jpg,2141782,1,81590397,"1328, 760",S,S
21,../data/input_images\20210620_020324_900_0250.jpg,2141782,2,81590398,"3984, 760",S,CM
22,../data/input_images\20210620_020324_900_0250.jpg,2141782,3,81590399,"2656, 1520",S,S
23,../data/input_images\20210620_020324_900_0250.jpg,2141782,4,81590400,"1328, 2280",S,S
24,../data/input_images\20210620_020324_900_0250.jpg,2141782,5,81590401,"3984, 2280",S,S
25,../data/input_images\20210620_020329_800_0268.jpg,2141783,1,81590458,"1328, 760",S,S
26,../data/input_images\20210620_020329_800_0268.jpg,2141783,2,81590460,"3984, 760",S,S
27,../data/input_images\20210620_020329_800_0268.jpg,2141783,3,81590462,"2656, 1520",S,S
28,../data/input_images\20210620_020329_800_0268.jpg,2141783,4,81590464,"1328, 2280",S,S
29,../data/input_images\20210620_020329_800_0268.jpg,2141783,5,81590466,"3984, 2280",S,S
30,../data/input_images\20210620_020334_900_0287.jpg,2141784,1,81590595,"1328, 760",S,S
31,../data/input_images\20210620_020334_900_0287.jpg,2141784,2,81590597,"3984, 760",R,S
32,../data/input_images\20210620_020334_900_0287.jpg,2141784,3,81590599,"2656, 1520",R,R
33,../data/input_images\20210620_020334_900_0287.jpg,2141784,4,81590600,"1328, 2280",S,S
34,../data/input_images\20210620_020334_900_0287.jpg,2141784,5,81590601,"3984, 2280",S,S
35,../data/input_images\20210620_020339_800_0305.jpg,2141787,1,81591397,"1328, 760",R,R
36,../data/input_images\20210620_020339_800_0305.jpg,2141787,2,81591398,"3984, 760",R,R
37,../data/input_images\20210620_020339_800_0305.jpg,2141787,3,81591399,"2656, 1520",R,R
38,../data/input_images\20210620_020339_800_0305.jpg,2141787,4,81591401,"1328, 2280",R,CM
39,../data/input_images\20210620_020339_800_0305.jpg,2141787,5,81591403,"3984, 2280",S,S
40,../data/input_images\20210620_020343_900_0320.jpg,2141789,1,81591402,"1328, 760",R,S
41,../data/input_images\20210620_020343_900_0320.jpg,2141789,2,81591404,"3984, 760",R,ACT
42,../data/input_images\20210620_020343_900_0320.jpg,2141789,3,81591407,"2656, 1520",R,R
43,../data/input_images\20210620_020343_900_0320.jpg,2141789,4,81591408,"1328, 2280",R,CM
44,../data/input_images\20210620_020343_900_0320.jpg,2141789,5,81591410,"3984, 2280",R,S
